CARNEGIE_4,YEAR,Black / African American,Hispanic,Asian,White
Doctoral / Research,2013,0.0,1.7,0.0,0.0
Doctoral / Research,2014,29.2,13.2,0.0,10.7
Doctoral / Research,2015,50.0,0.0,0.0,5.3
Doctoral / Research,2016,50.0,0.0,0.0,3.1
Doctoral / Research,2017,0.0,0.0,0.0,4.4
Master's,2013,7.3,8.7,18.1,10.7
Master's,2014,7.3,9.1,18.5,11.1
Master's,2015,7.7,9.7,19.4,11.7
Master's,2016,8.0,10.1,20.2,12.1
Master's,2017,8.3,10.4,20.6,12.6
Baccalaureate,2013,4.3,5.5,9.1,6.1
Baccalaureate,2014,4.1,4.8,9.5,6.0
Baccalaureate,2015,4.4,6.0,9.8,6.4
Baccalaureate,2016,4.6,6.0,10.1,6.7
Baccalaureate,2017,4.8,6.3,10.8,7.0
