Field,Year,Total,Black / African American_pct,Hispanic_pct,Asian_pct,White_pct
Natural Resources & Conservation,2013,16560,2.0,6.6,4.8,76.3
Natural Resources & Conservation,2023,20959,2.4,12.0,4.6,70.4
Computer & Information Sciences,2013,51655,10.7,9.1,8.8,56.3
Computer & Information Sciences,2023,114751,8.6,12.3,18.6,42.6
Engineering,2013,87142,4.0,9.0,11.4,61.7
Engineering,2023,120262,4.3,14.5,12.5,54.2
Engineering Technologies,2013,16726,9.7,9.2,4.0,67.5
Engineering Technologies,2023,17688,7.9,15.0,5.4,60.2
Biological & Biomedical Sciences,2013,101853,7.2,9.7,15.2,58.0
Biological & Biomedical Sciences,2023,132558,8.0,16.7,15.2,49.5
Mathematics & Statistics,2013,20519,4.8,7.2,9.7,61.7
Mathematics & Statistics,2023,25300,3.5,11.0,14.5,44.5
Physical Sciences,2013,27723,5.0,7.3,9.6,66.3
Physical Sciences,2023,26807,5.2,13.7,9.6,57.2
Science Technologies,2013,587,10.1,13.1,3.6,60.8
Science Technologies,2023,404,8.7,23.3,4.7,50.5
