Sector,YEAR,Black / African American,Hispanic,Asian,White
Public,2013,6.2,7.8,16.2,9.2
Public,2015,6.5,8.5,17.1,10.1
Public,2016,6.7,8.8,17.8,10.4
Public,2017,7.2,9.2,18.3,10.8
Public,2018,7.4,9.4,18.8,11.2
Public,2019,7.8,9.7,19.1,11.4
Public,2020,8.0,9.9,19.7,11.7
Public,2021,8.3,10.0,19.7,11.7
Public,2022,8.6,10.1,20.4,11.9
Public,2023,9.0,10.4,20.8,12.0
Private nonprofit,2013,5.2,6.9,14.4,7.7
Private nonprofit,2015,5.8,7.7,15.6,8.2
Private nonprofit,2016,5.9,7.8,16.3,8.5
Private nonprofit,2017,6.0,8.0,16.4,8.6
Private nonprofit,2018,6.3,8.2,16.7,8.7
Private nonprofit,2019,6.4,8.3,17.2,8.8
Private nonprofit,2020,6.8,8.6,17.3,8.9
Private nonprofit,2021,7.0,8.7,17.5,9.0
Private nonprofit,2022,7.2,9.4,17.7,9.3
Private nonprofit,2023,7.6,9.6,18.2,9.6
