YEAR,CTOTALT,CAIANT,CASIAT,CBKAAT,CHISPT,CNHPIT,CWHITT,C2MORT,CNRALT,CUNKNT
2013,322765,1662,36136,20664,28633,751,197256,5646,16389,15628
2015,350398,1445,39441,20997,35336,717,208875,10252,20219,13116
2016,376894,1422,43211,22630,40202,716,219757,12238,23820,12898
2017,399602,1415,46504,24042,44775,701,227428,13629,28058,13050
2018,419233,1508,50562,25086,48558,755,233749,15034,32232,11749
2019,437443,1356,53572,26522,53209,738,238243,16203,34720,12880
2020,454587,1379,56648,27770,57754,743,242293,17379,37666,12955
2021,463006,1517,59665,29795,62499,719,239769,18636,37059,13347
2022,461233,1332,63199,29618,63752,709,235671,19160,34815,12977
2023,458729,1318,64708,29808,65457,636,231935,19527,32337,13003
