YEAR,CTOTALT,CAIANT,CASIAT,CBKAAT,CHISPT,CNHPIT,CWHITT,C2MORT,CNRALT,CUNKNT
2013,3726540,21556,236072,359432,390176,9930,2303344,64686,130032,211312
2015,3727318,18728,242418,347934,440354,9120,2252250,100844,149262,166408
2016,3888742,18654,256192,371944,490292,9470,2293338,117916,168710,162226
2017,3961076,18446,268438,377204,525956,9270,2299076,127888,183108,151690
2018,4016524,17778,283864,378204,556940,9162,2300518,136332,196964,136762
2019,4072154,17738,293614,379356,589204,9220,2295580,142270,203906,141266
2020,4121616,17710,303650,381180,622516,8986,2286638,150092,212542,138302
2021,4179006,18500,318708,398914,664556,9148,2264564,157320,205852,141444
2022,4073156,17278,329242,386186,664102,8856,2182310,157894,189308,137980
2023,3970578,16796,329004,371658,667154,7998,2113480,160630,175492,128366
